64 1.6380697489e-01 1.2069940567e-03
64 1.1006863060e+03 1.0848569900e+02
128 2.8960597515e-01 1.1349916458e-03
128 2.1838416540e+03 1.1036371195e+02
200 4.4697099924e-01 1.1029839516e-03
200 3.3927489030e+03 1.0929830605e+02
256 5.6995004416e-01 1.1189579964e-03
256 4.3233524180e+03 1.0774790102e+02
512 1.1302039623e+00 1.6840100288e-03
512 8.6326702400e+03 1.0933840501e+02
600 2.8734729886e+00 3.9699673653e-03
600 1.0115258639e+04 1.0844908899e+02
800 1.7579519749e+00 1.7570257187e-03
800 1.3463174463e+04 1.0855496097e+02
1024 2.2612000108e+00 1.7490386963e-03
1024 1.7212450654e+04 1.0817422301e+02
2000 4.4209469557e+00 1.7269849777e-03
2000 3.3610362799e+04 1.0249406403e+02
3000 6.6100230217e+00 1.6829967499e-03
3000 5.0499755724e+04 1.0608895701e+02
4096 9.1575500369e+00 1.7340183258e-03
4096 6.9231641799e+04 1.0822371602e+02
6000 1.3435608983e+01 1.7250180244e-03
6000 1.0149150265e+05 1.0926559001e+02
7000 1.5567665040e+01 1.7430186272e-03
7000 1.1831556428e+05 1.0389465100e+02
10000 2.1911010027e+01 1.7740130424e-03
10000 1.6883801276e+05 1.0833194995e+02
50000 1.0835132796e+02 1.6400218010e-03
50000 8.4457241802e+05 1.0403848398e+02
100000 2.1688989198e+02 1.7910003662e-03
100000 1.6888588243e+06 1.0474581301e+02
